accx,accy,accz
0.6433,-0.4497,0.2523
0.6728,-0.3944,0.2372
0.4961,-0.2486,0.198
0.3045,-0.1573,0.0973
0.1558,-0.1066,0.0222
0.0394,-0.0963,-0.049
-0.1032,-0.0756,-0.1143
-0.1803,-0.02,-0.0928
-0.21,0.042,-0.0734
-0.2575,0.0701,-0.0394
-0.2476,0.1329,0.0021
-0.1633,0.1306,0.0414
-0.0046,0.0941,0.0665
-0.0122,0.1144,0.0369
0.1019,-0.0214,0.0123
0.1382,-0.1254,-0.0734
0.1575,-0.1899,-0.1608
-0.0276,-0.0814,-0.1313
-0.0479,-0.0487,-0.296
-0.1078,-0.096,-0.3666
0.0358,-0.1588,-0.486
0.0629,-0.1827,-0.4945
0.0035,-0.0852,-0.4884
-0.0231,-0.1058,-0.3048
0.0898,-0.093,-0.1724
0.1068,-0.0941,-0.0881
0.1941,-0.2004,0.0287
0.2163,-0.2121,0.0713
0.1995,-0.099,0.0333
0.1865,-0.0953,0.0201
0.252,-0.0971,0.0518
0.299,-0.136,0.0626
0.287,-0.1331,0.0607
0.0485,-0.1053,0.0128
-0.0096,-0.0327,-0.0249
-0.0783,-0.0254,-0.0132
-0.1035,-0.001,0.0643
-0.0806,0.0056,0.11
-0.0161,-0.0002,0.1463
0.0548,0.0193,0.2071
0.0784,0.0374,0.2853
0.2095,-0.0784,-0.0592
0.1447,-0.1063,-0.208
0.1384,-0.1744,-0.2325
0.0646,-0.2259,-0.1347
-0.0573,-0.1601,-0.0798
-0.0494,-0.169,-0.4247
-0.155,-0.2194,-0.6254
-0.3601,-0.1687,-0.6564
-0.3586,-0.0029,-0.4828
-0.1824,0.0773,-0.4655
0.0386,-0.022,-0.4112
0.1884,-0.1215,-0.2887
0.1962,-0.1761,-0.2077
0.13,-0.0983,-0.115
0.0449,-0.0253,-0.1251
-0.0985,-0.0226,-0.3047
-0.1432,-0.0141,-0.3663
-0.1392,-0.0159,-0.3652
-0.2288,-0.1016,-0.4272
-0.011,0.0179,-0.1812
0.0304,0.0034,-0.0445
0.151,-0.0589,-0.0889
0.3397,-0.0687,0.1049
0.4242,-0.1432,0.2878
0.2483,-0.0994,0.2381
0.0692,-0.0338,0.1119
0,-0.0334,-0.0151
-0.0503,-0.0829,-0.1315
-0.1174,-0.0971,-0.2691
-0.1204,-0.1109,-0.2202
-0.0265,-0.1044,-0.1384
0.0288,-0.0918,-0.1532
0.0447,-0.1053,-0.1969
0.0334,-0.0925,-0.1734
-0.0052,-0.1127,-0.21
0.0072,-0.0728,-0.1462
0.0057,-0.0635,-0.0898
0.0154,-0.0782,-0.0788
0.003,-0.0956,-0.0702
0.0218,-0.0873,-0.1187
0.0168,-0.0821,-0.1931
-0.0211,-0.0626,-0.1621
0.0151,-0.0375,-0.0814
0.0553,-0.0716,-0.0751
0.055,-0.087,-0.1381
0.0315,-0.0694,-0.1073
0.03,-0.0544,-0.1363
0.0116,-0.0637,-0.1724
-0.0209,-0.0732,-0.1628
0.0206,-0.0939,-0.1392
0.0042,-0.081,-0.1062
0.0089,-0.0106,-0.0564
0.0783,-0.0914,-0.119
0.0716,-0.0703,-0.1283
0.0303,-0.0728,-0.1091
0.03,-0.0674,-0.0975
0.0322,-0.0812,-0.1552
-0.0155,-0.098,-0.1456
0.004,-0.0909,-0.1576
-0.0058,-0.0738,-0.1362
0.0299,-0.0755,-0.0911
0.0487,-0.1006,-0.0773
0.0314,-0.097,-0.1115
-0.0026,-0.0986,-0.1143
0.0068,-0.0979,-0.0955
0.0087,-0.0877,-0.1509
0.0131,-0.073,-0.1295
-0.0208,-0.0894,-0.089
-0.036,-0.0816,-0.0224
0.068,-0.1239,-0.0971
0.0423,-0.109,-0.1453
0.0129,-0.0632,-0.1526
0.0011,-0.0724,-0.172
0.0019,-0.1009,-0.1721
-0.0119,-0.0716,-0.1771
0.0072,-0.0444,-0.1416
0.0063,-0.0288,-0.1615
0.0098,-0.0729,-0.2221
0.0185,-0.0979,-0.1701
