accx,accy,accz
0.083,0.0563,0.1197
0.178,-0.0154,-0.1128
0.1592,0.0351,-0.2908
0.1046,0.0839,-0.4249
0.0287,0.081,-0.4131
0.0099,0.037,-0.3349
0.0672,0.0164,-0.3436
0.088,0.0348,-0.3525
0.0558,0.0345,-0.2851
0.0285,-0.015,-0.2469
-0.0094,-0.0404,-0.2255
-0.027,-0.0757,-0.2304
-0.0317,-0.078,-0.2544
-0.042,-0.0852,-0.2544
-0.0623,-0.1068,-0.2309
-0.0599,-0.1034,-0.1633
-0.0756,-0.1119,-0.1086
-0.0434,-0.1051,-0.0926
-0.0506,-0.1059,-0.1292
-0.0676,-0.1246,-0.2085
-0.0721,-0.1461,-0.3186
-0.0492,-0.1238,-0.326
-0.0452,-0.1147,-0.274
-0.0341,-0.083,-0.2441
-0.0504,-0.0214,-0.1598
-0.0723,0.0214,-0.1068
-0.0483,0.0347,-0.1253
-0.0142,0.0112,-0.1985
-0.0279,0.0154,-0.2137
-0.0386,-0.007,-0.1929
-0.0326,-0.0027,-0.0909
0.0229,0.0091,-0.0058
0.0649,0.0356,0.0599
0.0513,0.0353,0.0755
0.0353,0.0414,0.0579
0.0501,0.0634,0.0215
0.0473,0.0605,-0.0552
0.0614,0.0424,-0.1029
0.0643,0.0242,-0.0811
0.0465,-0.0102,-0.0618
0.0654,-0.018,-0.0713
0.0875,-0.0339,-0.0731
0.107,-0.0312,-0.0795
0.126,-0.0794,-0.0905
0.102,-0.0758,-0.1443
0.0995,-0.0801,-0.1426
0.0686,-0.1209,-0.313
0.0573,-0.1281,-0.371
0.0205,-0.1347,-0.4076
-0.0009,-0.15,-0.3989
-0.0022,-0.2051,-0.3667
-0.0119,-0.1802,-0.3707
0.0266,-0.1473,-0.3798
0.0479,-0.1441,-0.3346
0.0018,-0.1367,-0.2517
-0.0154,-0.1215,-0.2339
-0.0048,-0.0919,-0.2423
-0.0021,-0.1085,-0.2889
-0.0212,-0.118,-0.2708
-0.0449,-0.1177,-0.2025
-0.0538,-0.0832,-0.1584
-0.0526,-0.0728,-0.1549
-0.0385,-0.101,-0.156
-0.0261,-0.1197,-0.1403
-0.0109,-0.1089,-0.0889
-0.0098,-0.0711,-0.0642
-0.0091,-0.0047,-0.0633
0.0071,0.0087,-0.06
0.046,0.01,-0.0113
0.0266,0.033,0.0326
0.0494,0.0269,0.0239
0.0377,0.0223,0.0083
0.0623,-0.005,-0.0068
0.0586,0.0052,-0.0694
0.112,0.0362,-0.1796
0.1194,0.033,-0.2058
0.1247,0.0558,-0.215
0.0825,0.0551,-0.2842
0.1389,0.0305,-0.4037
0.3053,0.1169,-0.2339
0.0459,0.0243,-0.1611
-0.0791,-0.0265,-0.1809
0.0521,0.0313,-0.2192
0.0659,-0.017,-0.255
0.0001,-0.0322,-0.1446
-0.0149,-0.0512,-0.0848
-0.0082,-0.0532,-0.0755
0.0055,-0.0435,-0.0899
-0.0004,-0.0389,-0.0588
-0.0545,-0.0706,-0.0778
-0.0682,-0.0933,-0.0822
-0.0412,-0.0875,-0.0602
-0.0425,-0.0819,-0.1195
-0.0403,-0.0955,-0.1811
-0.0203,-0.1162,-0.2306
-0.014,-0.1223,-0.23
-0.015,-0.1156,-0.2297
-0.0073,-0.0729,-0.2893
0.0304,-0.0617,-0.3321
0.0198,-0.0764,-0.3177
-0.005,-0.1047,-0.3131
0.0116,-0.0679,-0.3399
0.0053,-0.0814,-0.3593
-0.0098,-0.0777,-0.355
-0.0083,-0.0629,-0.2483
-0.0168,-0.0826,-0.1304
0.0169,-0.0851,-0.0246
0.0543,-0.0619,-0.0527
0.0569,-0.0451,-0.1017
0.0061,-0.0203,-0.1765
-0.0518,-0.013,-0.239
-0.0275,0.0086,-0.2559
-0.0002,-0.0068,-0.2063
0.0268,-0.0022,-0.1498
0.037,-0.0069,-0.1079
0.0118,-0.0286,-0.0802
-0.0055,-0.0508,-0.0379
0.0205,-0.0735,-0.0504
0.003,-0.0367,-0.0843
-0.0098,-0.0363,-0.0869
0.028,-0.0357,-0.104
0.0443,-0.0422,-0.0923
0.0373,-0.0414,-0.1094
0.0109,-0.0576,-0.1575
-0.0135,-0.0454,-0.2007
0.0066,-0.0867,-0.2772
-0.0245,-0.1139,-0.2674
-0.0275,-0.1147,-0.2673
-0.0205,-0.0925,-0.2079
-0.0291,-0.1101,-0.12
-0.0294,-0.0937,-0.0658
-0.0785,-0.0773,-0.0379
-0.0641,-0.0808,-0.0885
-0.0633,-0.0709,-0.1435
-0.0597,-0.0832,-0.1695
-0.0563,-0.0831,-0.1693
-0.0919,-0.0391,-0.1384
-0.0804,-0.0237,-0.153
-0.0861,-0.0233,-0.1818
-0.0441,-0.0356,-0.2415
-0.0291,-0.0671,-0.258
-0.0552,-0.0604,-0.2578
-0.0314,-0.0247,-0.2673
-0.0149,-0.0029,-0.2626
-0.0243,-0.0167,-0.2533
0.0194,-0.0352,-0.2822
0.008,-0.0175,-0.2754
0.023,-0.0187,-0.2328
0.0398,-0.0508,-0.1615
0.0948,-0.0634,-0.1383
0.0905,-0.0853,-0.1344
0.099,-0.0707,-0.1258
0.11,-0.0252,-0.1243
0.0801,-0.0545,-0.1633
0.0499,-0.051,-0.1852
0.0436,-0.0835,-0.1976
0.0684,-0.0654,-0.1837
0.0811,-0.0707,-0.1317
0.0815,-0.063,-0.0635
0.1005,-0.0812,-0.0289
0.1233,-0.0669,-0.0731
0.1186,-0.047,-0.1645
0.0868,-0.0233,-0.2628
0.0725,-0.0286,-0.3034
0.0523,-0.0451,-0.2653
0.064,-0.0555,-0.2109
0.0827,-0.0438,-0.1711
0.074,-0.0347,-0.1576
0.0485,-0.0356,-0.1224
0.052,-0.0412,-0.0849
0.0557,-0.0518,-0.1071
0.0432,-0.0174,-0.1338
0.0048,-0.0384,-0.1699
0.0218,-0.0591,-0.1415
0.0435,-0.0553,-0.1373
0.0571,-0.0612,-0.1714
0.0365,-0.0652,-0.2125
0.0388,-0.0722,-0.2559
0.0134,-0.0962,-0.3159
-0.0035,-0.1108,-0.3592
0.0219,-0.1275,-0.4147
0.0072,-0.1745,-0.3723
0.0033,-0.1861,-0.321
0.0275,-0.2092,-0.1534
0.058,-0.2048,-0.0916
0.0182,-0.2194,-0.0633
-0.0036,-0.21,-0.0205
0.0283,-0.2028,0.0247
0.0298,-0.1982,0.0053
-0.0118,-0.1631,-0.0569
