accx,accy,accz
-7.3275,-1.5883,7.1797
-7.4216,-1.6045,7.019
-7.5264,-1.5656,6.9649
-7.6558,-1.4982,6.9004
-7.7095,-1.4974,6.8094
-7.7168,-1.4738,6.6597
-7.7015,-1.5353,6.5052
-7.7015,-1.553,6.2008
-7.7358,-1.5703,6.1442
-7.7233,-1.4937,6.1992
-7.8827,-1.4321,6.1799
-8.1665,-1.1887,6.2408
-8.198,-1.0347,6.4456
-8.1547,-1.0112,6.6573
-8.1397,-1.0456,6.8329
-8.2372,-1.0152,6.8692
-8.0481,-1.075,6.8996
-7.635,-1.0952,6.9485
-7.534,-0.9346,7.083
-7.5603,-0.8555,7.481
-7.4233,-0.756,7.9068
-7.3214,-0.7347,8.3676
-7.343,-0.7326,8.5511
-7.5591,-0.7626,8.5073
-7.7192,-0.7947,8.4444
-7.791,-0.9182,8.8126
-7.7945,-1.1226,9.4453
-7.6794,-1.4492,10.2108
-7.3493,-1.8972,10.8679
-7.0581,-2.1335,11.2096
-7.2829,-1.9206,11.1514
-7.5627,-1.4576,10.5344
-7.6604,-1.5207,9.4887
-7.421,-1.5143,8.3306
-7.2199,-1.2484,8.0996
-6.8523,-1.1271,8.551
-6.417,-1.3467,9.5336
-5.9712,-1.9992,10.9132
-5.6359,-2.6635,12.1132
-5.7396,-3.3441,12.8076
-5.4299,-3.9977,12.7669
-5.3373,-4.3834,12.8709
-5.5573,-4.2811,12.0947
-6.3287,-4.0121,10.9044
-6.7042,-3.5732,9.7358
-6.6383,-3.0195,9.0634
-6.3093,-2.807,8.6851
-5.7654,-2.7056,8.4428
-5.276,-2.666,8.5936
-4.773,-2.6728,8.89
-4.5512,-2.7569,8.984
-4.4481,-2.8141,8.7478
-4.5,-2.8537,8.0202
-5.1208,-3.1132,7.8179
-5.2329,-3.2288,7.5792
-5.5961,-3.2657,7.6319
-6.4525,-3.4645,7.3419
-6.2799,-3.594,7.5656
-6.4197,-3.6947,7.4777
-6.9803,-3.7078,7.5501
-7.4217,-3.5251,7.198
-8.4483,-3.1319,7.1348
-7.8205,-4.2331,7.0725
-7.0605,-4.4536,6.8455
-7.1021,-3.9691,6.6899
-6.7585,-3.3055,6.8424
-6.1213,-2.9152,6.9918
-5.7045,-2.8767,7.1951
-5.6054,-2.9278,7.779
-5.8991,-2.8368,8.5962
-6.5573,-2.5586,9.1332
-6.848,-2.5194,9.4342
-6.8652,-2.6806,9.5786
-6.71,-2.5037,9.1825
-6.6873,-2.5194,9.233
-6.3517,-2.2614,8.9153
-6.4069,-1.9694,8.15
-6.577,-1.8061,7.3946
-6.6758,-1.3667,6.8277
-7.0965,-0.8355,6.9838
-7.5505,-0.8987,7.7723
-7.7612,-1.3316,8.7178
-7.8739,-1.7499,9.4889
-7.6462,-1.9275,10.1327
-7.2054,-2.0545,10.404
-6.4355,-1.9304,10.6093
-6.2027,-1.7452,11.1085
-6.6874,-1.2515,11.2297
-7.7527,-0.8478,11.3793
-8.4213,-0.7922,10.7415
-8.2729,-0.8264,9.7702
-7.4091,-0.7024,9.1388
-6.2984,-0.5006,8.9916
-5.7748,-0.5824,9.9484
-5.9563,-1.1501,11.7614
-6.344,-1.8119,13.0259
-7.0917,-2.3982,13.8371
-7.5233,-2.776,13.5073
-7.735,-3.032,12.0434
-7.8299,-3.1418,10.3427
-7.8508,-3.1186,10.3808
-7.7793,-2.5699,8.0658
-7.5623,-2.2939,7.6706
-7.5112,-2.1663,7.5204
-7.4432,-2.2021,7.9031
-7.4223,-2.3334,8.3599
-7.3964,-2.6448,8.8417
-7.406,-2.863,9.1312
-7.3977,-2.9667,9.2211
-7.2372,-2.9514,9.1073
-7.0161,-2.809,8.6254
-6.8614,-2.6259,8.0479
-6.7652,-2.4674,7.448
-6.7933,-2.3181,6.9402
-6.8084,-2.16,6.5567
-6.8473,-2.1124,6.2412
-7.0082,-2.1753,6.0691
-7.2433,-2.21,6.1641
-7.5416,-2.2677,6.4293
-7.9329,-2.3426,6.7363
-8.1695,-2.3992,7.1067
-8.0832,-2.2559,7.2195
-7.6198,-1.9846,7.0249
-7.2136,-1.8102,6.7845
-6.9497,-1.5981,6.5935
-6.8515,-1.3903,6.7625
-6.6802,-1.1725,7.1223
-6.7013,-1.1184,7.361
-6.0005,-1.6014,7.2814
-8.2374,-0.6896,7.5305
-7.276,-0.7171,7.7161
-6.9556,-1.1986,7.4397
-6.754,-1.0657,7.4829
-6.9248,-0.7338,7.739
-6.8476,-0.5549,7.9221
-6.76,-0.4631,8.127
-6.7901,-0.3953,8.4112
-6.684,-0.4075,8.8664
-6.5976,-0.5932,9.3003
-6.504,-0.7556,9.6745
-6.2456,-0.8965,10.1106
-6.0217,-1.0323,10.4587
-5.9552,-1.1423,10.8713
-6.2114,-1.155,11.0285
-6.9536,-0.8641,10.7678
-7.4732,-0.4082,10.0395
-7.3736,-0.4551,9.5006
-7.0004,-0.6948,9.4302
-6.6599,-0.8184,9.7679
-6.453,-0.9427,10.4049
-6.0236,-1.3707,11.4897
-5.6381,-2.0226,12.3735
-5.5807,-2.6157,13.1966
-5.651,-3.0127,13.5908
-5.7739,-3.2907,13.474
-5.9072,-3.3869,12.9064
-6.041,-3.2802,11.8542
-6.0473,-3.1134,10.7944
-6.0311,-3.0188,9.853
-5.9502,-2.9096,9.2957
-5.8917,-2.7803,8.8342
-5.8854,-2.6632,8.574
-5.9109,-2.6292,8.3459
-5.888,-2.6483,8.22
-5.7852,-2.702,8.0658
