accx,accy,accz
0.2061,0.3718,-0.6935
0.1887,0.3358,-0.8793
0.2485,0.3067,-0.854
0.3762,0.174,-0.6724
0.536,0.1154,-0.463
0.4516,0.0768,-0.2685
0.2072,-0.2236,-0.0778
0.1572,-0.3323,-0.2519
0.1187,-0.3782,-0.6192
0.127,-0.3696,-0.8431
0.2257,-0.3447,-0.7433
0.1964,-0.3729,-0.633
0.0995,-0.4542,-0.5074
0.0369,-0.5046,-0.5013
-0.0799,-0.4986,-0.6094
-0.1626,-0.5172,-0.8078
-0.2337,-0.478,-0.7719
-0.2032,-0.4988,-0.4073
-0.0216,-0.4839,-0.1377
0.1501,-0.4794,-0.2145
0.1964,-0.4269,-0.4483
0.0681,-0.4113,-0.4684
0.1487,-0.4148,-0.4214
0.2522,-0.4022,-0.4291
0.2583,-0.4075,-0.5483
0.2497,-0.4017,-0.6794
0.2456,-0.4409,-0.7565
0.3052,-0.4707,-0.9058
0.3767,-0.4722,-1.1826
0.3101,-0.4943,-1.5091
0.1961,-0.5236,-1.8073
0.2199,-0.5751,-1.9467
0.5659,-0.6218,-1.9807
0.8569,-0.6404,-2.2365
0.8698,-0.8685,-2.5056
0.5165,-1.0148,-2.4684
0.1979,-1.2375,-2.167
0.0221,-1.3571,-1.8463
-0.2721,-1.2764,-1.6721
-0.5776,-1.1081,-1.4279
-0.8356,-0.8412,-1.2987
-0.7371,-0.4964,-1.0771
-0.5034,-0.1433,-0.674
-0.1289,0.2516,0.1264
0.2524,0.3312,1.0189
0.4079,0.2355,2.1647
0.1052,0.2056,3.1001
-0.6287,0.2814,3.8948
-1.2944,0.4592,4.248
-1.8657,0.6854,4.1553
-2.02,0.8157,3.8543
-1.8283,0.6813,3.7156
-1.3644,0.4053,3.9604
-0.8222,0.016,4.4886
-0.5796,-0.4192,4.7109
-0.6523,-0.8725,4.6535
-0.8218,-1.2203,4.3641
-1.0873,-1.3786,3.6739
-1.3166,-1.2806,2.7228
-1.513,-0.9463,1.5248
-1.369,-0.6459,0.6059
-1.0679,-0.2017,-0.1103
-0.7925,0.1192,-0.6238
-0.5951,0.3669,-1.0773
-0.4928,0.47,-1.4226
-0.6051,0.5143,-1.6731
-0.8718,0.4649,-1.6967
-1.1669,0.3529,-1.584
-1.2853,0.2061,-1.4428
-1.405,0.1163,-1.1618
-1.4045,0.0307,-0.9013
-1.3655,-0.1133,-0.6277
-1.3126,-0.1988,-0.4652
-1.2212,-0.2717,-0.301
-1.1392,-0.2916,-0.2449
-1.0607,-0.3116,-0.1987
-0.9778,-0.341,-0.1527
-0.8646,-0.3778,-0.1667
-0.7901,-0.4722,-0.2429
-0.77,-0.5214,-0.3335
-0.7695,-0.5507,-0.2761
-0.6751,-0.5885,-0.2362
-0.7372,-0.5635,-0.2135
-0.7878,-0.5513,-0.1706
-0.8233,-0.5713,-0.2751
-0.8939,-0.5686,-0.3737
-0.9677,-0.5831,-0.5149
-1.028,-0.6209,-0.7137
-1.024,-0.6938,-0.779
-0.9761,-0.7722,-0.7833
-0.9621,-0.8507,-0.715
-0.9254,-0.912,-0.6491
-0.8994,-0.9558,-0.7083
-0.7071,-0.9403,-0.7674
-0.5689,-0.9201,-0.7482
-0.4542,-0.9362,-0.7608
-0.3844,-0.9279,-0.844
-0.3747,-0.9374,-0.9754
-0.3029,-0.9443,-1.1233
-0.189,-0.8565,-1.2127
-0.1181,-0.8118,-1.3165
-0.0387,-0.7618,-1.5668
0.0391,-0.6956,-1.7193
0.1469,-0.6678,-1.8939
0.1851,-0.6805,-2.0908
0.2021,-0.7192,-2.3029
0.1672,-0.7134,-2.3034
0.0868,-0.7469,-2.259
0.0171,-0.8134,-2.2363
-0.1395,-0.889,-2.2233
-0.2841,-0.8896,-2.1699
-0.354,-0.9008,-2.1817
-0.3439,-0.8958,-2.2185
-0.2371,-0.8452,-2.2112
-0.1765,-0.6283,-2.0626
-0.0725,-0.3507,-1.9724
0.1201,-0.0066,-1.9692
0.3306,0.4494,-2.005
0.5555,0.7142,-1.9629
0.7558,0.8265,-1.6176
0.8841,0.9148,-1.0221
1.0096,0.7406,0.0705
1.0101,0.4969,1.3103
0.8434,0.2841,2.7481
0.9375,0.0269,3.9182
0.994,0.0923,4.7046
0.9052,0.4777,4.8802
0.8735,1.0875,4.5466
0.693,1.5494,4.0313
0.3095,1.6159,3.383
-0.0012,1.1899,3.0154
-0.3339,0.3192,3.1007
-0.3965,-0.5663,3.6599
-0.1112,-1.3538,4.7851
0.6038,-1.5879,5.7948
1.8529,-1.3577,6.6105
3.0668,-0.816,6.6432
4.0322,-0.1519,5.5702
4.2231,0.4829,3.9395
4.1352,0.9517,2.1428
3.87,1.1048,0.6241
3.386,1.2907,-0.8442
2.8951,1.4237,-1.9631
2.6561,1.3883,-2.6751
2.4453,1.3577,-2.9917
2.297,1.2148,-3.0192
2.0058,0.9514,-2.8219
1.6873,0.5618,-2.4991
1.3013,0.0725,-2.2505
0.9184,-0.2618,-2.073
0.5393,-0.655,-1.8249
0.2196,-1.0617,-1.5083
-0.0158,-1.4503,-0.9763
-0.1552,-1.875,-0.4589
-0.1394,-2.1225,0.0809
0.2687,-2.183,0.3307
0.6979,-1.916,0.3502
1.1875,-1.8571,0.0971
1.521,-1.6591,-0.0326
1.4658,-1.5703,0.0328
1.0717,-1.5302,-0.0941
0.743,-1.3689,-0.1072
