accx,accy,accz
0.097,0.8306,0.5194
0.1831,0.9439,0.4337
0.2446,1.0232,0.4705
0.2073,1.0157,0.7336
0.1592,0.9507,0.9691
0.0911,0.9436,0.8691
0.0241,0.9954,0.6347
0.0167,1.0527,0.6392
-0.0132,1.0193,0.9401
0.001,0.9304,1.3808
0.0341,0.7519,1.9066
-0.0337,0.5782,2.4658
-0.1304,0.4213,3.0572
-0.1655,0.3404,3.4359
-0.1086,0.4095,3.5608
0.0074,0.3366,3.5511
0.1697,0.1409,3.5252
0.1565,-0.0296,3.6151
0.0967,-0.3495,3.7473
-0.0665,-0.743,3.7486
-0.3985,-1.1821,3.6339
-0.6376,-1.455,3.3224
-0.8055,-1.6776,2.7513
-0.8853,-1.7324,2.2294
-0.9225,-1.6888,2.0115
-0.8558,-1.6895,2.0061
-0.9189,-1.6495,1.9502
-1.0231,-1.664,1.9456
-1.1281,-1.7826,2.1461
-1.2412,-2.0723,2.4728
-1.3095,-2.3799,2.7627
-1.3384,-2.3941,2.7694
-1.339,-2.6969,2.7112
-1.3189,-2.7887,2.3528
-1.1994,-2.8093,1.763
-1.0948,-2.7389,1.1989
-0.9726,-2.7304,0.4722
-0.9647,-2.7128,-0.1619
-0.9803,-2.6621,-0.7623
-0.9655,-2.587,-1.2397
-0.9138,-2.5364,-1.6845
-0.9177,-2.5251,-1.9887
-0.8882,-2.4404,-2.2018
-0.8888,-2.3339,-2.1884
-0.7727,-2.3034,-2.1683
-0.7432,-2.2442,-2.2271
-0.802,-2.1808,-2.3213
-0.8863,-2.1851,-2.3758
-0.9706,-2.1495,-2.423
-0.9767,-2.0339,-2.3898
-0.8932,-1.9385,-2.2285
-0.8217,-1.7556,-1.9512
-0.7767,-1.5178,-1.6072
-0.661,-1.3981,-1.4485
-0.4768,-1.2374,-1.4522
-0.3247,-1.07,-1.5317
-0.2799,-0.8418,-1.4941
-0.2786,-0.7232,-1.4601
-0.4159,-0.6364,-1.3515
-0.5286,-0.5879,-1.1712
-0.6248,-0.5603,-0.8164
-0.6477,-0.5154,-0.5052
-0.718,-0.4636,-0.3495
-0.7217,-0.4248,-0.1885
-0.7112,-0.345,0.0657
-0.6986,-0.2895,0.3689
-0.6357,-0.2003,0.6205
-0.6865,-0.134,0.7204
-0.8116,-0.0804,0.8433
-0.9533,-0.0384,0.8903
-1.098,-0.044,1.0252
-1.2185,-0.0935,1.2822
-1.178,-0.2399,1.6588
-1.0271,-0.5037,1.9311
-0.6508,-0.9716,2.1654
-0.2886,-1.331,2.4317
-0.1841,-1.653,2.8019
0.1218,-2.0268,3.0011
0.4023,-2.1928,2.854
0.6101,-2.0985,2.1887
0.9362,-1.7925,1.3811
1.3321,-1.5266,0.9191
1.6126,-1.2966,0.4711
1.8511,-1.2825,0.3701
2.014,-1.5302,0.8845
2.1969,-1.9274,1.7069
2.2433,-2.4649,2.4589
2.1151,-2.7903,3.3501
1.9311,-2.9499,4.1338
1.6471,-2.9244,4.6583
1.3655,-2.5881,4.5274
1.1203,-2.0579,3.3333
0.8681,-1.456,1.9443
0.8338,-1.0048,0.6526
0.779,-0.6394,-0.1558
0.6235,-0.4529,-0.8144
0.5142,-0.5059,-1.0845
0.4702,-0.6198,-1.0073
0.4361,-0.781,-0.6769
0.4017,-0.9487,-0.3608
0.353,-1.1144,-0.2257
0.2604,-1.2849,-0.3681
0.174,-1.4286,-0.6409
-0.0149,-1.595,-0.9923
-0.2184,-1.7319,-1.2372
-0.5281,-1.8484,-1.4571
-0.8302,-1.9375,-1.6774
-1.1754,-2.0818,-1.8544
-1.276,-2.0465,-2.0605
-1.2801,-1.9801,-2.2092
-1.0628,-1.77,-2.3004
-0.8106,-1.4898,-2.4489
-0.6565,-1.3102,-2.5174
-0.6909,-1.1059,-2.4411
-0.8775,-1.0117,-2.2547
-1.1097,-0.9654,-2.1425
-1.2287,-0.9211,-1.9042
-1.2256,-0.7678,-1.5143
-0.9957,-0.5027,-1.0906
-0.7218,-0.2325,-0.7726
-0.416,0.0025,-0.5019
-0.0116,0.222,0.0539
0.4283,0.4233,0.5798
0.6836,0.5692,1.0895
0.6215,0.5661,1.4697
0.409,0.4992,1.9088
0.2442,0.3941,2.2633
0.053,0.228,2.6682
-0.0053,0.0167,2.9752
-0.0857,-0.0879,3.2401
-0.1672,-0.089,3.2609
-0.2891,-0.0217,2.9817
-0.4418,0.2799,2.4564
-0.7553,0.6923,1.8219
-1.0957,0.8994,1.3768
-1.3694,0.9076,1.0769
-1.5404,0.9099,1.1387
-1.5132,0.7404,1.6803
-1.2947,0.4774,2.4998
-1.1387,0.0558,3.3701
-1.222,-0.3582,3.936
-1.3101,-0.8791,4.2522
-1.3411,-1.2809,4.2638
-1.0803,-1.7342,3.9961
-0.6775,-2.0071,3.6285
-0.2662,-1.9517,3.3972
-0.117,-1.9546,3.0835
-0.0491,-2.0725,2.5518
-0.1909,-2.0716,1.9971
-0.5311,-2.0038,1.2104
-0.7396,-1.9899,0.4609
-0.9635,-1.981,-0.2204
-1.0136,-1.9841,-0.722
-1.0646,-1.9556,-1.0974
-1.0867,-1.9579,-1.3355
-0.9908,-1.9481,-1.5848
-0.8965,-1.8978,-1.7133
-0.8188,-1.8831,-1.8528
-0.7959,-1.9408,-2.0474
-0.7965,-2.0102,-2.264
-0.8441,-2.0283,-2.4088
-0.8991,-2.0557,-2.3966
-1.0384,-2.089,-2.379
-1.0518,-2.0688,-2.3342
-1.0525,-2.0053,-2.3602
-0.9946,-1.8976,-2.3449
-0.8102,-1.7754,-2.2256
-0.6024,-1.5552,-2.0715
-0.4669,-1.4151,-2.0548
-0.4626,-1.3386,-2.1612
-0.6743,-1.2935,-2.1471
-0.8932,-1.3035,-1.9547
-1.0534,-1.3404,-1.659
-1.1864,-1.3876,-1.391
-1.3001,-1.3839,-1.2447
-1.3185,-1.3498,-1.1834
-1.2522,-1.3254,-1.0733
-1.1569,-1.2736,-0.812
-1.037,-1.2246,-0.4219
-0.9245,-1.1585,0.0537
-0.875,-1.0286,0.3593
-0.8889,-0.9751,0.6659
-0.8808,-1.0133,1.0123
-0.9043,-1.068,1.4098
-0.9073,-1.0949,1.5792
-1.0525,-1.1521,1.5462
-1.1677,-1.1816,1.4651
-1.2726,-1.1202,1.3516
-1.3486,-0.9673,1.2649
-1.4277,-0.8025,0.9877
-1.4373,-0.6126,0.6483
-1.4964,-0.43,0.2459
-1.5063,-0.1706,0.0377
-1.4314,0.0549,-0.0953
-1.395,0.2343,-0.0248
-1.4067,0.4168,0.3633
-1.302,0.3452,1.066
-1.2234,0.1714,2.0532
-1.1091,-0.0365,2.7291
-1.2175,-0.1806,3.0638
-1.3386,-0.268,2.9861
-1.3988,-0.2384,2.6205
-1.2933,-0.2172,2.1521
-0.8222,-0.3044,1.745
-0.3041,-0.6383,1.6345
0.4124,-1.2572,2.2313
1.0725,-1.7332,3.3269
1.6022,-2.0398,4.287
1.7273,-2.2661,4.8988
1.7179,-2.5286,5.1611
1.5293,-2.5693,4.7842
1.2005,-2.3931,3.5437
0.9638,-2.0934,2.197
0.9288,-1.7416,0.9845
0.9021,-1.4962,0.09
0.8174,-1.2807,-0.612
0.7772,-1.2264,-0.9349
0.7509,-1.2564,-0.9829
0.8806,-1.347,-0.7941
1.0187,-1.4377,-0.5086
1.1746,-1.5096,-0.329
1.2308,-1.5219,-0.3303
1.2558,-1.5089,-0.4409
1.2872,-1.5295,-0.6507
1.2586,-1.5255,-0.881
1.0933,-1.5422,-1.2159
0.8013,-1.5575,-1.6699
0.4819,-1.5666,-2.03
0.3115,-1.5463,-2.28
0.1977,-1.4551,-2.3828
0.1,-1.3883,-2.4634
-0.0014,-1.3297,-2.5166
-0.1672,-1.2245,-2.5782
-0.3564,-1.0606,-2.5861
-0.5175,-0.9429,-2.5021
-0.5398,-0.8923,-2.4034
-0.6165,-0.8578,-2.3668
-0.667,-0.8547,-2.2569
-0.7477,-0.8131,-2.0286
-0.7105,-0.7898,-1.8764
-0.7401,-0.7545,-1.6894
-0.7763,-0.765,-1.3719
-0.7473,-0.9286,-0.8834
-1.0278,-1.0086,0.0373
-0.9903,-1.4046,0.9726
-0.6531,-1.5166,1.2937
-0.3479,-1.2153,1.276
-0.3323,-0.7619,0.8936
0.3644,-0.4879,0.2513
0.6368,-0.1133,-0.2353
0.639,0.2603,-0.776
0.589,0.3632,-0.9843
0.4813,0.4049,-1.0316
0.3146,0.3976,-1.1011
0.1393,0.402,-1.228
0.0563,0.4615,-1.0988
0.0515,0.5631,-0.9331
0.0639,0.621,-0.8489
0.185,0.7291,-0.7879
0.2711,0.8319,-0.7574
0.1747,0.8871,-0.7204
0.0015,0.8075,-0.4009
-0.0782,0.6876,0.0526
-0.0813,0.6114,0.4172
-0.007,0.5414,0.8643
0.136,0.419,1.2684
0.1072,0.3408,1.7628
0.0988,0.3365,2.155
0.061,0.5265,2.5253
-0.3884,1.0437,2.6999
-0.9457,1.6307,2.6816
-1.3287,1.9865,2.8649
-1.2689,1.9678,3.3755
-1.2196,1.8196,3.9761
-1.2621,1.6684,5.0555
-1.2594,1.133,6.1428
-1.2927,0.2746,7.1979
-1.5207,-0.5397,7.6124
-1.7617,-1.3333,7.0239
-1.7852,-1.7063,5.788
-1.4895,-1.8113,4.2331
-1.1141,-1.7916,2.7061
-0.8093,-1.6589,1.3065
-0.496,-1.5811,0.423
-0.3117,-1.5363,-0.1202
-0.2471,-1.5208,-0.508
-0.3955,-1.5461,-0.7008
-0.5752,-1.6274,-0.8522
-0.7271,-1.7158,-1.0004
-0.8147,-1.8522,-1.0663
-0.8724,-1.8838,-1.3068
-0.8676,-1.9036,-1.2928
-0.7942,-1.6489,-1.7954
-0.6577,-1.5809,-1.9493
-0.5188,-1.5306,-2.0873
-0.5223,-1.5864,-2.067
-0.5169,-1.6758,-1.9168
-0.5585,-1.7772,-1.8094
-0.579,-1.8994,-1.6597
-0.6841,-1.9729,-1.4949
-0.6873,-2.0776,-1.3787
-0.6741,-2.0971,-1.4367
-0.6039,-2.0216,-1.5521
-0.5715,-1.9308,-1.6505
-0.5336,-1.7913,-1.7627
-0.464,-1.665,-1.8558
-0.4311,-1.4962,-1.9803
-0.5119,-1.4199,-2.0869
-0.5509,-1.4052,-2.1293
-0.5554,-1.4074,-2.1277
-0.6786,-1.3347,-2.1332
-0.7054,-1.2838,-1.9575
-0.751,-1.2674,-1.7557
-0.6825,-1.2394,-1.6032
-0.576,-1.0874,-1.3643
-0.4398,-0.9223,-1.1842
-0.2828,-0.667,-1.0831
-0.2369,-0.4169,-1.0784
-0.2874,-0.2546,-1.1467
-0.2777,-0.2474,-1.0454
-0.376,-0.28,-0.7694
-0.6588,-0.4818,-0.3965
-0.9774,-0.8586,-0.0127
-1.4885,-1.1296,0.4603
-2.1167,-1.6086,0.6379
-2.6543,-1.9731,0.8134
-2.498,-1.6562,1.2008
-1.5066,-1.2641,1.8501
-0.3001,-0.4543,2.0304
0.1146,0.2639,1.4447
0.3023,1.022,0.2937
0.0349,1.4635,-0.8045
-0.283,1.6222,-1.6536
-0.5421,1.5676,-1.6934
